,OBS,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,OUTAGE.START,OUTAGE.RESTORATION
6,1,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,severe weather,,,3060,,70000,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2011-07-01 17:00:00,2011-07-03 20:00:00
7,2,2014,5,Minnesota,MN,MRO,East North Central,-0.1,normal,intentional attack,vandalism,,1,,,12.12,9.71,6.49,9.28,1586986,1807756,1887927,5284231,30.0324872247258,34.2103893641289,35.7275637647181,2345860,284978,9898,2640737,88.83353397176622,10.791608554733017,0.3748196052844338,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2014-05-11 18:38:00,2014-05-11 18:39:00
8,3,2010,10,Minnesota,MN,MRO,East North Central,-1.5,cold,severe weather,heavy wind,,3000,,70000,10.87,8.19,6.07,8.15,1467293,1801683,1951295,5222116,28.0976715185951,34.5010145312743,37.365983444259,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2010-10-26 20:00:00,2010-10-28 22:00:00
9,4,2012,6,Minnesota,MN,MRO,East North Central,-0.1,normal,severe weather,thunderstorm,,2550,,68200,11.79,9.25,6.71,9.19,1851519,1941174,1993026,5787064,31.9940992530928,33.5433304349148,34.4393288202792,2317336,278466,11010,2606813,88.89536763856863,10.682239193988982,0.4223548064245498,51598,48156,1.07147603621563,0.6,5364,277627,1.93208873776686,2.2,5380443,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2012-06-19 04:30:00,2012-06-20 23:00:00
10,5,2015,7,Minnesota,MN,MRO,East North Central,1.2,warm,severe weather,,,1740,250,250000,13.07,10.16,7.74,10.43,2028875,2161612,1777937,5970339,33.982576198772,36.2058502875632,29.7794982830958,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2015-07-18 02:00:00,2015-07-19 07:00:00
11,6,2010,11,Minnesota,MN,MRO,East North Central,-1.4,cold,severe weather,winter storm,,1860,,60000,10.63,8.34,6.15,8.28,1676347,1786144,1909874,5374150,31.1927839751403,33.2358419470986,35.5381595229013,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2010-11-13 15:00:00,2010-11-14 22:00:00
12,7,2010,7,Minnesota,MN,MRO,East North Central,-0.9,cold,severe weather,tornadoes,,2970,,63000,11.41,9.11,6.71,9.12,2187537,2100828,2084709,6374935,34.3146557572744,32.9545007125563,32.701651075658,2300291,276463,10150,2586905,88.92058270404209,10.687017884305764,0.3923607554200869,50447,47287,1.0668259775414,2.7,4571,267895,1.70626551447395,2.1,5310903,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2010-07-17 20:30:00,2010-07-19 22:00:00
13,8,2005,6,Minnesota,MN,MRO,East North Central,0.2,normal,severe weather,thunderstorm,,3960,75,300000,9.1,7.22,5.69,7.36,1883344,1935444,1786652,5607498,33.5861733700128,34.5152864967584,31.861839273059,2211000,255645,8266,2474912,89.33650974256862,10.329458178715042,0.33399167323929096,52445,48090,1.09055936785194,2,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2005-06-08 04:00:00,2005-06-10 22:00:00
14,9,2015,3,Minnesota,MN,MRO,East North Central,0.6,warm,intentional attack,sabotage,,155,20,5941,11.53,8.89,6.61,9.03,1844298,1956866,1795865,5599486,32.9369159955039,34.9472433719809,32.0719616050473,2374674,289044,9812,2673531,88.82163700364798,10.811320310106746,0.3670052825271149,54431,49844,1.09202712462884,1.7,4873,292023,1.66870417741068,2.2,5489594,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2015-03-16 07:31:00,2015-03-16 10:06:00
15,10,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,severe weather,hailstorm,,3621,,400000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.84298355835801,10.722894552693147,0.4340837545594429,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2013-06-21 17:39:00,2013-06-24 06:00:00
16,11,2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,severe weather,hailstorm,,7740,,193000,12.71,10.31,7.29,10,1688619,1895099,1905375,5490631,30.7545526188156,34.5151404273935,34.7022956013617,2329734,281187,11383,2622305,88.84298355835801,10.722894552693147,0.4340837545594429,52479,48396,1.08436647656831,1.7,5613,284542,1.97264375733635,2.3,5420541,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2013-06-21 03:00:00,2013-06-26 12:00:00
17,12,2005,9,Minnesota,MN,MRO,East North Central,0,normal,severe weather,tornadoes,,8880,,200000,8.76,7.58,4.94,7.03,1720089,1884242,1928620,5535009,31.0765348349027,34.0422572031952,34.8440264505442,2211000,255645,8266,2474912,89.33650974256862,10.329458178715042,0.33399167323929096,52445,48090,1.09055936785194,2,3997,268496,1.48866277337465,2.1,5119598,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2005-09-21 19:00:00,2005-09-27 23:00:00
18,13,2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,intentional attack,vandalism,,0,0,0,11.6,9.18,6.81,9.28,2332915,2114774,2113291,6562520,35.5490726123501,32.2250294094342,32.2024313830663,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2011-07-08 10:00:00,2011-07-08 10:00:00
19,14,2011,5,Minnesota,MN,MRO,East North Central,-0.4,normal,intentional attack,vandalism,,1322,0,0,11.23,8.91,6.46,8.7,1568544,1770802,1921812,5262668,29.805110259663,33.6483699902787,36.5178270793445,2308736,276286,10673,2595696,88.94477627580424,10.64400453674082,0.4111806621422539,51268,47586,1.07737569873492,1.6,4802,274182,1.75139141154416,2.2,5348119,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2011-05-11 15:55:00,2011-05-12 13:57:00
20,15,2014,6,Minnesota,MN,MRO,East North Central,0,normal,severe weather,thunderstorm,,60,,55951,12.73,10.53,6.97,10.02,1753319,1935822,1883117,5574073,31.4548984198808,34.7290392501139,33.783500861937,2345860,284978,9898,2640737,88.83353397176622,10.791608554733017,0.3748196052844338,53499,49091,1.08979242631032,1.9,5226,291955,1.79000188385196,2.2,5457125,73.27,15.28,2279,1700.5,18.2,2.14,0.6,91.5926658691451,8.40733413085488,5.47874298334407,2014-06-15 00:00:00,2014-06-15 01:00:00
